"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,974103.429001007,NA,974103.451630472,NA,NA,974103.447434191,974103.380829071,974103.417108967,974103.440871127,974103.413211068,974103.427309671,1458.12843080444,"2015-10-17 17:08:27.814214144"
0,NA,974718.577148007,NA,NA,NA,NA,974718.595386837,974718.52887938,974718.565162173,974718.589041434,974718.561572703,974718.575930477,1458.12843080444,"2015-10-17 17:18:42.962264320"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.03990390922,"2015-10-17 17:33:24.433384960"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.03990390922,"2015-10-17 17:43:24.433384960"
0,NA,976516.262571007,NA,NA,NA,NA,976516.280678163,976516.214233834,976516.250944725,976516.274342167,976516.246715982,976516.260685759,1458.03990390922,"2015-10-17 17:48:40.647618816"
0,NA,977131.276321007,NA,977131.299974143,NA,977131.345804546,977131.294532555,977131.228086255,977131.264400418,977131.288115537,977131.260579997,977131.274520615,1458.03990390922,"2015-10-17 17:58:55.661471232"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.03990390922,"2015-10-17 18:13:24.433384960"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.03990390922,"2015-10-17 18:23:24.433384960"
0,NA,978930.953811007,NA,978930.976972195,NA,NA,978930.971880466,978930.905506265,978930.941737911,978930.965470889,978930.937892319,978930.951896124,1458.03990390922,"2015-10-17 18:28:55.338891264"
0,NA,979548.710416007,NA,NA,NA,NA,979548.728674988,979548.662212868,979548.698535538,979548.722181605,979548.694614363,979548.708701445,1458.03990390922,"2015-10-17 18:39:13.095597824"
0,NA,980121.730352007,NA,980121.749539777,NA,NA,980121.748540629,980121.682171926,980121.718388322,980121.742013318,980121.714543888,980121.728638662,1458.03990390922,"2015-10-17 18:48:46.115556864"
0,NA,980724.284205007,980724.328022514,980724.302542462,NA,NA,980724.302365065,980724.235934469,980724.272309737,980724.295971162,980724.268306762,980724.282492816,1458.03990390922,"2015-10-17 18:58:48.669319424"
0,NA,981385.770996007,981385.815016176,NA,NA,NA,981385.789111111,981385.722705011,981385.759071562,981385.782784288,981385.755236328,981385.769179975,1458.03990390922,"2015-10-17 19:09:50.156090112"
0,NA,982045.811909007,982045.856362163,982045.83303488,NA,NA,982045.830187906,982045.763700038,982045.799964363,982045.823730851,982045.796288774,982045.810086718,1458.03990390922,"2015-10-17 19:20:50.197084928"
